time,lam_star_Fx,lam_star_Fy,lam_star_Fz,lam_star_Tx,lam_star_Ty,lam_star_Tz,meas_Fx,meas_Fy,meas_Fz,meas_Tx,meas_Ty,meas_Tz,v_final_Fx,v_final_Fy,v_final_Fz,v_final_Tx,v_final_Ty,v_final_Tz
1757904957.2126882,-5.876329636771579,0.0,0.0,0.0,0.0,0.0,-4.949999999999999,-0.6099999999999994,-2.27,0.248,0.8480000000000001,-0.046,-0.004631648183857897,0.0,0.0,0.0,0.0,0.0
1757904957.2626953,-5.157155223570451,0.0,0.0,0.0,0.0,0.0,-4.609999999999999,0.23000000000000043,-2.05,0.263,0.8220000000000001,-0.053,-0.00273577611785226,0.0,0.0,0.0,0.0,0.0
1757904957.3226526,-4.166083292494282,0.0,0.0,0.0,0.0,0.0,-5.189999999999998,-0.4299999999999997,-1.6099999999999999,0.264,0.79,-0.058,0.00511958353752858,0.0,0.0,0.0,0.0,0.0
1757904957.37273,-5.816463702285091,0.0,0.0,0.0,0.0,0.0,-5.43,0.5099999999999998,-2.27,0.274,0.823,-0.044,-0.001932318511425457,0.0,0.0,0.0,0.0,0.0
1757904957.4326851,-5.597432447113587,0.0,0.0,0.0,0.0,0.0,-5.129999999999999,0.6900000000000013,-2.13,0.303,0.819,-0.074,-0.002337162235567938,0.0,0.0,0.0,0.0,0.0
1757904957.492648,-6.721699933796508,0.0,0.0,0.0,0.0,0.0,-5.890000000000001,-0.7899999999999991,-2.57,0.274,0.843,-0.045,-0.004158499668982536,0.0,0.0,0.0,0.0,0.0
1757904957.54284,-6.076285872142619,0.0,0.0,0.0,0.0,0.0,-5.709999999999997,-0.049999999999998934,-2.4299999999999997,0.281,0.813,-0.034,-0.0018314293607131083,0.0,0.0,0.0,0.0,0.0
1757904957.6030152,-6.07134663810262,0.0,0.0,0.0,0.0,0.0,-5.609999999999999,-0.5299999999999994,-2.37,0.303,0.788,-0.08,-0.002306733190513102,0.0,0.0,0.0,0.0,0.0
1757904957.6626298,-6.120151141924519,0.0,0.0,0.0,0.0,0.0,-5.829999999999998,-0.4299999999999997,-2.41,0.261,0.8360000000000001,-0.046,-0.0014507557096226044,0.0,0.0,0.0,0.0,0.0
1757904957.7133272,-5.375058139220449,0.0,0.0,0.0,0.0,0.0,-5.369999999999997,0.009999999999999787,-2.15,0.264,0.8220000000000001,-0.037,-2.529069610225587e-05,0.0,0.0,0.0,0.0,0.0
1757904957.7726305,-4.857082457607652,0.0,0.0,0.0,0.0,0.0,-5.09,-0.4499999999999993,-1.89,0.258,0.8160000000000001,-0.057,0.0011645877119617375,0.0,0.0,0.0,0.0,0.0
1757904957.8226895,-4.365346492547871,0.0,0.0,0.0,0.0,0.0,-6.550000000000001,-0.5099999999999998,-1.67,0.258,0.804,-0.051000000000000004,0.010923267537260651,0.0,0.0,0.0,0.0,0.0
